EntryName	Type	DisplayName_en	Description_en	DisplayName_ru	Description_ru
MAG_MOMENTUM_DURATION_TECHNICAL	StatusData	%%% Momentum Duration Check			
MAG_PALADIN_PHYSICAL_RESISTANCE	StatusData	Warding Hands		Ограждающие руки	
MAG_RAGE_LOWHP_VIOLENCE_TECHNICAL	StatusData	Last Stand	During combat, when the creature starts their turn with 50% &lt;LSTag Tooltip="HitPoints"&gt;hit points&lt;/LSTag&gt; or less, they gain &lt;LSTag Type="Status" Tooltip="MAG_VIOLENCE"&gt;Wrath&lt;/LSTag&gt; for 1 turn.	Отчаянная решимость	Если во время боя у существа остается 50% &lt;LSTag Tooltip="HitPoints"&gt;ОЗ&lt;/LSTag&gt; или меньше, оно на 1 ход получает эффект &lt;LSTag Type="Status" Tooltip="MAG_VIOLENCE"&gt;«Озлобление»&lt;/LSTag&gt;.
MAG_TEMPORARY_HP	StatusData	Temporary Hit Points	Kept from death's door by a brief magical boost. Gained [1] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;temporary hit point&lt;/LSTag&gt;.	Временные ОЗ	Кратковременное магическое усиление отодвигает вас на шаг дальше от порога смерти. Получить [1] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;временных ОЗ&lt;/LSTag&gt;.
MAG_VIOLENCE	StatusData	Wrath	You have a +1 bonus to damage with melee weapons for every turn this condition has remaining. 	Озлобление	Ваши атаки оружием ближнего боя наносят +1 ед. урона за каждый ход, что действует это состояние.
MAG_VIOLENCE_DURATION_TECHNICAL	StatusData	%%% Violence Duration Check			
MAG_WEAPON_COATED_WITH_POISON	StatusData	Venomous Revenge	Affected entity has been recently healed, and its weapon attacks deal an additional [1].	Ядовитая месть	Существо недавно было исцелено, и его атаки оружием дополнительно наносят [1].
MELEE_SPELL_ATTACK	StatusData	Melee Spell Attack	Your attacks with this weapon use your Spell Attack Modifier.	Атака в ближнем бою заклинанием	Ваши атаки этим оружием используют ваш модификатор заклинательной способности.
MENTAL_ARROW	StatusData	Mindstruck	Has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Wisdom &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;.	Помутнение	Получает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="SavingThrow"&gt;испытаниях&lt;/LSTag&gt; мудрости.
MEPHIT_MUD_RESTRAINED	StatusData	Muddy	Affected entity is covered in hardened mud and its &lt;LSTag Tooltip="MovementSpeed"&gt;movement speed&lt;/LSTag&gt; is halved. &lt;br&gt;&lt;br&gt;&lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; against it have &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt;, while the entity's Attack Rolls and Dexterity &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt; have &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt;. &lt;br&gt;&lt;br&gt;Removes Burning, and the entity becomes &lt;LSTag Tooltip="Resistant"&gt;Resistant&lt;/LSTag&gt; to Fire damage.	Грязно	Существо покрыто затвердевшей грязью, и его &lt;LSTag Tooltip="MovementSpeed"&gt;скорость перемещения&lt;/LSTag&gt; снижена вдвое. &lt;br&gt;&lt;br&gt;&lt;LSTag Tooltip="AttackRoll"&gt;Броски атаки&lt;/LSTag&gt; против существа имеют &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt;, а его собственные броски атаки и &lt;LSTag Tooltip="SavingThrow"&gt;испытания&lt;/LSTag&gt; ловкости получают &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt;.&lt;br&gt;&lt;br&gt;Снимает эффект горения и дает &lt;LSTag Tooltip="Resistant"&gt;устойчивость&lt;/LSTag&gt; к урону огнем.
MIND_MASTERY	StatusData	Mind Mastery	Forced to make a weapon attack against one of its allies by a duergar mind master.&lt;br&gt;&lt;br&gt;Ends after the attack, or when hit.	Власть над разумом	Вынужденно проводит атаку оружием против одного из своих союзников под влиянием двергара-повелителя разума.&lt;br&gt;&lt;br&gt;Действие заканчивается после вынужденной атаки или при попадании по существу.
MINOR_ILLUSION	StatusData	Minor Illusion	An illusory image that distracts nearby creatures, compelling them to investigate.	Малая иллюзия	Иллюзорный образ, который отвлекает находящихся рядом существ и вынуждает их выяснить, в чем дело.
MIRROR_IMAGE_1	StatusData	Mirror Image	The mirror image distracts attackers, increasing the spellcaster's &lt;LSTag Tooltip="ArmourClass"&gt;Armour Class&lt;/LSTag&gt; by 3. When the caster successfully evades an attack, one of the images disappears.	Зеркальное отражение	Зеркальное отражение отвлекает атакующих, увеличивая &lt;LSTag Tooltip="ArmourClass"&gt;КБ&lt;/LSTag&gt; заклинателя на 3. Когда заклинатель успешно уклоняется от атаки, одно из его отражений пропадает.
MIRROR_IMAGE_2	StatusData	Second Mirror Image		Второе зеркальное отражение	
MIRROR_IMAGE_3	StatusData	Third Mirror Image		Третье зеркальное отражение	
MOBILE_NO_AOO	StatusData	Sluggardly	Can't make an &lt;LSTag Tooltip="OpportunityAttack"&gt;Opportunity Attack&lt;/LSTag&gt; against its most recent attacker.	Копуша	Не может проводить &lt;LSTag Tooltip="OpportunityAttack"&gt;внеочередные атаки&lt;/LSTag&gt; против последнего нападавшего.
MOBILE_NO_AOO_SOURCE	StatusData	Mobile Attack	This creature's target cannot make an &lt;LSTag Tooltip="OpportunityAttack"&gt;Opportunity Attack&lt;/LSTag&gt; when the creature moves away.	Атака на ходу	Цель этого существа не может выполнить &lt;LSTag Tooltip="OpportunityAttack"&gt;внеочередную атаку&lt;/LSTag&gt;, когда существо отступает.
MONSTERS_STATUS	StatusData	%%% EMPTY			
MOONBEAM	StatusData	Moonbeam	Creature is engulfed by ghostly flames that deal [1] per turn. On a successful save, the creature still takes half damage.	Лунный свет	Существо охвачено языками призрачного пламени, наносящими [1]. При успешном испытании цель все равно получает половину урона.
MOONBEAM_AURA	StatusData	Moonbeam	Ghostly flames engulf any creature that enters this silvery light or starts its turn inside the light. They deal [1]. On a successful save, targets still take half damage.	Лунный свет	Существо, вошедшее в это серебристое сияние или начавшее в нем свой ход, охватывают языки призрачного пламени, наносящие [1]. При успешном испытании цели все равно получают половину урона.
MOONBEAM_OWNER	StatusData	Moonbeam	%%%|Unlock action to move moonbeam|	Лунный свет	
NATURES_WRATH	StatusData	Nature's Wrath		Гнев природы	
NET	StatusData	Ensnared	Cannot move. &lt;br&gt;&lt;br&gt;&lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; against the affected entity have &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt;, while the entity's Attack Rolls and Dexterity &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt; have &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt;.&lt;br&gt;&lt;br&gt; Slashing and Fire damage remove the netting.	В ловушке	Существо не может двигаться. &lt;br&gt;&lt;br&gt;&lt;LSTag Tooltip="AttackRoll"&gt;Броски атаки&lt;/LSTag&gt; против него имеют &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt;, а его собственные броски атаки и &lt;LSTag Tooltip="SavingThrow"&gt;испытания&lt;/LSTag&gt; ловкости получают &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt;.&lt;br&gt;&lt;br&gt; Сеть можно разорвать с помощью режущих атак и атак огнем.
NON_LETHAL	StatusData	Non-Lethal Damage	Non-lethal damage does not kill creatures if it reduces their hit points to 0, it just leaves them unconscious. 	Несмертельный урон	Цель получила несмертельный урон и находится без сознания.
OFF_BALANCED	StatusData	Off Balance	The affected entity has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Strength and Dexterity &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;, and &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; against it have &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt;.&lt;br&gt;&lt;br&gt;Removed by taking damage or when &lt;LSTag Type="Spell" Tooltip="Target_Help"&gt;Helped&lt;/LSTag&gt;.	Потеря равновесия	Существо получает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; силы и ловкости, а &lt;LSTag Tooltip="AttackRoll"&gt;броски атаки&lt;/LSTag&gt; против него получают &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt;.&lt;br&gt;&lt;br&gt;Снимается, когда по этому существу попадает атака или ему &lt;LSTag Type="Spell" Tooltip="Target_Help"&gt;помогает&lt;/LSTag&gt; союзник.
OGRE_CURSE	StatusData	Lump's Nemesis	Ogres deal an additional [1] when throwing objects at this creature.	Смертельный враг Дули	Швыряя предметы в это существо, огры наносят ему дополнительно [1].
OILED	StatusData	Oiled	Whenever this creature takes Fire damage, it suffers an additional [1].	В масле	Всякий раз, когда существо получает урон от огня, оно дополнительно получает [1].
OIL_OF_SHARPNESS	StatusData	Oil of Sharpness	Creature's weapon is magical and has +3 bonus to attack and damage rolls.	Масло остроты	Оружие существа волшебным образом улучшено, получая бонус +3 к броскам атаки и урона.
OIL_OF_SHARPNESS_MELEE	StatusData	Oil of Sharpness	Creature's weapon is magical and has +3 bonus to attack and damage rolls.	Масло остроты	Оружие существа волшебным образом улучшено, получая бонус +3 к броскам атаки и урона.
OIL_OF_SHARPNESS_RANGED	StatusData	Oil of Sharpness	Creature's weapon is magical and has +3 bonus to attack and damage rolls.	Масло остроты	Оружие существа волшебным образом улучшено, получая бонус +3 к броскам атаки и урона.
OMEN_RAVEN	StatusData	Curse of the Dire Raven	Marked by the feather of a dire raven. &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; against the affected entity have &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt;.	Проклятие свирепого ворона	Существо отмечено пером свирепого ворона. &lt;LSTag Tooltip="AttackRoll"&gt;Броски атаки&lt;/LSTag&gt; против него получают &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt;.
ONE_WITH_SHADOWS	StatusData	One with the Shadows	Affected entity is invisible. It has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; and imposes &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on enemy Attack Rolls. &lt;br&gt;&lt;Br&gt;Invisibility ends early if the invisible entity moves, attacks, casts another spell, takes an action, or takes damage.	Единство с тенями	Существо невидимо. Оно получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="AttackRoll"&gt;бросках атаки&lt;/LSTag&gt;, а вражеские броски атаки против него получают &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt;. &lt;br&gt;&lt;Br&gt;Невидимость заканчивается досрочно, если существо атакует, перемещается, произносит какое-либо иное заклинание, предпринимает действие или получает урон.
ORI_ASTARION_HIDDEN_RACE	StatusData	%%% EMPTY		ПУСТО	
ORI_GALE_AURANECROSIS	StatusData	Necrosis	Gale exudes Necrotic energy. Creature takes [1] every turn. 	Некроз	Гейл источает некротическую энергию. Существо получает [1] каждый ход.
ORI_GALE_FROG	StatusData	%%% EMPTY			
ORI_GALE_MYSTRABLESSING_1	StatusData	Mystra's Benevolence	Gale has advantage to Concentration checks.	Благосклонность Мистры	Гейл имеет преимущество при проверках концентрации.
ORI_GALE_MYSTRABLESSING_2	StatusData	Mystra's Blessing	Gale is &lt;LSTag Tooltip="Immune"&gt;Immune&lt;/LSTag&gt; to Fire, Acid, Cold, Force, and Thunder damage unless the damage dealt exceeds 10 points.	Благословение Мистры	Гейл &lt;LSTag Tooltip="Immune"&gt;невосприимчив&lt;/LSTag&gt; к урону огнем, кислотой, холодом, громом и к силовому урону, если только полученный урон не превышает 10 очков.
ORI_GALE_NECROTICAURA	StatusData	Necrotic Aura	Gale exudes Necrotic energy. Nearby creatures take [1] every turn. 	Некротическая аура	Гейл источает некротическую энергию. Находящиеся рядом существа получают [1] каждый ход.
OUT_CRAWLINGFEVER	StatusData	Crawling Fever	Suffers a contagious fever and will die in one day unless cured. Has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="AbilityCheck"&gt;Ability Checks&lt;/LSTag&gt;. Fever may be transmitted to up to 10 others. 	Ползучая лихорадка	Страдает от заразной лихорадки и без лечения умрет в течение одного дня. Получает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; характеристик. Лихорадка может передаться еще 10 существам.
OWLS_WISDOM	StatusData	Owl's Wisdom	Has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on Wisdom &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;.	Мудрость совы	Получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; мудрости.
PACIFYING_SPORES	StatusData	Pacified	Incapacitated. Can't move or take actions, bonus actions, or reactions.	Умиротворение	Существо выведено из строя. Оно не может перемещаться, а также предпринимать обычные, бонусные или ответные действия.
PACK_HOWL_WOLF_DIRE	StatusData	Inciting Howl	&lt;LSTag Tooltip="MovementSpeed"&gt;Movement speed&lt;/LSTag&gt; increased by [1].	Воодушевляющий вой	&lt;LSTag Tooltip="MovementSpeed"&gt;Скорость перемещения&lt;/LSTag&gt; увеличивается на [1].
PACK_HOWL_WOLF_DIRE_NPC	StatusData	Savage Howl	&lt;LSTag Tooltip="MovementSpeed"&gt;This character's movement speed&lt;/LSTag&gt; is increased by [1], and it gains [2].	Дикий вой	&lt;LSTag Tooltip="MovementSpeed"&gt;Скорость перемещения&lt;/LSTag&gt; этого персонажа увеличивается на [1], и он получает [2].
PACTOFTHECHAIN_CAT	StatusData	%%% EMPTY			
PALADIN_OATH_BROKEN	StatusData	Oath Broken	You have broken your sacred Oath and betrayed your beliefs. You can no longer use &lt;LSTag Type="ActionResource" Tooltip="ChannelOath"&gt;Channel Oath Charges&lt;/LSTag&gt;. &lt;br&gt;&lt;br&gt;You should go to camp and contemplate what happened and what comes next.	Клятва нарушена	Вы нарушили свою священную клятву и предали собственные убеждения. Вы больше не можете пользоваться &lt;LSTag Type="ActionResource" Tooltip="ChannelOath"&gt;зарядами силы клятвы&lt;/LSTag&gt;. &lt;br&gt;&lt;br&gt;Вернитесь в лагерь и подумайте над тем, что вы наделали и что ждет вас дальше.
PARALYZED	StatusData	Paralysed	Affected entity can't move or take actions, bonus actions, or reactions.&lt;Br&gt;&lt;Br&gt;Attacks against the entity are always &lt;LSTag Tooltip="CriticalHit"&gt;Critical Hits&lt;/LSTag&gt; if the attacker is within [1].	Паралич	Существо, на которое действует эффект, не может перемещаться, а также предпринимать обычные, бонусные или ответные действия.&lt;Br&gt;&lt;Br&gt;Атаки против существа всегда становятся &lt;LSTag Tooltip="CriticalHit"&gt;критическими ударами&lt;/LSTag&gt;, если атакующий в пределах [1].
PARRIED_GITHYANKI	StatusData	Parried	Already &lt;LSTag Type="Passive" Tooltip="Parry_Githyanki"&gt;Parried&lt;/LSTag&gt; this turn and has to recover before Parrying again.	Атака парирована	Существо уже использовало &lt;LSTag Type="Passive" Tooltip="Parry_Githyanki"&gt;парирование&lt;/LSTag&gt; в этот ход. Чтобы парировать еще одну атаку, этот навык должен восстановиться.
PARRY_GITHYANKI	StatusData	Ready to Parry	The githyanki stands ready to parry the next weapon attack, reducing its incoming damage by [1].&lt;br&gt;&lt;br&gt;The githyanki can parry an attack as long as they have a &lt;LSTag Type="ActionResource" Tooltip="ReactionActionPoint"&gt;reaction&lt;/LSTag&gt;, they wield a greatsword, and they aren't &lt;LSTag Type="Status" Tooltip="BLINDED"&gt;Blinded&lt;/LSTag&gt;, &lt;LSTag Type="Status" Tooltip="INCAPACITATED"&gt;Incapacitated&lt;/LSTag&gt; or &lt;LSTag Type="Status" Tooltip="RESTRAINED"&gt;Restrained&lt;/LSTag&gt;.	Готовность к парированию	Гитьянки готовится парировать следующую атаку оружием, уменьшая получаемый урон на [1].&lt;br&gt;&lt;br&gt;Гитьянки может парировать атаку, если у него есть &lt;LSTag Type="ActionResource" Tooltip="ReactionActionPoint"&gt;ответное действие&lt;/LSTag&gt;, есть в руках двуручный меч и на гитьянки не действует &lt;LSTag Type="Status" Tooltip="BLINDED"&gt;слепота&lt;/LSTag&gt;, &lt;LSTag Type="Status" Tooltip="INCAPACITATED"&gt;выход из строя&lt;/LSTag&gt; или &lt;LSTag Type="Status" Tooltip="RESTRAINED"&gt;обездвиженность&lt;/LSTag&gt;.
PARRY_GITHYANKI_ANIMSET	StatusData	Parry	%%%|Hidden. Gives Parry animset|	Парирование	
PARRY_GITHYANKI_TECHNICAL	StatusData	%%% EMPTY			
PASSIVE_AGONIZING_BLAST	StatusData	Agonising Blast		Мучительный взрыв	
PASSIVE_ARMOR_OF_AGATHYS_ATTACKER	StatusData	Armour of Agathys		Броня Агафиса	
PASSIVE_BANE	StatusData	Bane		Порча	
PASSIVE_BLESS	StatusData	Bless		Благословение	
PASSIVE_DARK_ONES_BLESSING	StatusData	Dark One's Blessing		Благословение Темного	
PASSIVE_DEFENSIVE_DUELIST	StatusData	Defensive Duellist		Обороняющийся дуэлянт	
PASSIVE_DISCIPLE_OF_LIFE	StatusData	Disciple of Life		Защитник жизни	
PASSIVE_HEX	StatusData	Hex		Сглаз	
PASSIVE_TRUE_STRIKE	StatusData	True Strike		Верный удар	
PASSIVE_WARDING_FLARE	StatusData	Warding Flare		Защитная вспышка	
PASS_WITHOUT_TRACE	StatusData	Pass Without Trace	Veiled by an ally. +10 bonus to Stealth &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;.	Бесследный шаг	Союзник укрыл вас вуалью невидимости. Бонус +10 к &lt;LSTag Tooltip="AbilityCheck"&gt;проверкам&lt;/LSTag&gt; скрытности.
PASS_WITHOUT_TRACE_AURA	StatusData	Pass Without Trace Aura	This entity and nearby allies have a +10 bonus to Stealth &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;.	Аура: бесследный шаг	Существо и находящиеся рядом союзники получают бонус +10 к &lt;LSTag Tooltip="AbilityCheck"&gt;проверкам&lt;/LSTag&gt; скрытности.
PEACEFUL_RESOLUTION_XP	StatusData	%%% EMPTY			
PERFORM_NEGATIVE	StatusData	Poor Performance	Maybe you'd better stop, before anyone starts throwing rocks.	Никудышное исполнение	Пожалуй, лучше остановиться, пока вас не закидали камнями.
PERFORM_POSITIVE	StatusData	Exceptional Performance		Исключительное исполнение	
PERFORM_POSITIVE_BARDDANCE	StatusData	Performing 'Bard Dance'		Исполняет «Танец бардов»	
PERFORM_POSITIVE_STARGAZING	StatusData	Performing 'Old Time Battles'		Исполняет «Древние битвы»	
PERFORM_POSITIVE_THEPOWER	StatusData	Performing 'The Power'	Playing a tune. Perform the same song nearby to join in.	Исполняет «Непреодолимую силу»	Музицирует. Исполните ту же мелодию, стоя поблизости, чтобы сыграть вторую партию.
PERMANENTLY_HOSTILE	StatusData	%%% Empty	%%% Technical status to override the TEMPORARILY_HOSTILE status when an NPC becomes permanently hostile, and to fall back to TEMPORARILY_HOSTILE in case the permanent hostility (faction relation) gets removed again		
PERMANENTLY_HOSTILE_MANUAL	StatusData	%%% Empty	%%% Technical status. Use to override TEMPORARILY_HOSTILE if you know the NPC will become permanently hostile in advance and want to communicate this to the players (by _not_ showing the TEMPORARILY_HOSTILE status at any point).		
PETPAL	StatusData	Speak with Animals	Can comprehend and communicate with beasts.	Разговор с животными	Может понимать зверей и общаться с ними.
PETRIFIED	StatusData	Petrified	Turned to stone. Can't move or take actions, bonus actions, or reactions. 	Окаменение	Существо обращено в камень. Не может перемещаться, а также предпринимать обычные, бонусные или ответные действия.
PHANTASMAL_FORCE	StatusData	Phantasmal Force	Haunted by an echo of the last thing that attacked them.&lt;br&gt;&lt;br&gt;Takes [1] each turn. Each time they take damage from another source, the damage type of Phantasmal Force changes to that damage type.	Сила фантазма	Существо одержимо эхом последнего, что нанесло ему урон.&lt;br&gt;&lt;br&gt;Получает по [1] каждый ход. Каждый раз, когда существо получает урон из иных источников, тип урона Силы фантазма меняется на тип урона этого источника.
PHANTASMAL_FORCE_ACID	StatusData	Phantasmal Force: Acid		Сила фантазма: урон кислотой	
PHANTASMAL_FORCE_BLUDGEONING	StatusData	Phantasmal Force: Bludgeoning		Сила фантазма: дробящий урон	
PHANTASMAL_FORCE_COLD	StatusData	Phantasmal Force: Cold		Сила фантазма: урон холодом	
PHANTASMAL_FORCE_FIRE	StatusData	Phantasmal Force: Fire		Сила фантазма: урон огнем	
PHANTASMAL_FORCE_FORCE	StatusData	Phantasmal Force: Force		Сила фантазма: силовой урон	
PHANTASMAL_FORCE_LIGHTNING	StatusData	Phantasmal Force: Lightning		Сила фантазма: урон молнией	
PHANTASMAL_FORCE_NECROTIC	StatusData	Phantasmal Force: Necrotic		Сила фантазма: некротический урон	
PHANTASMAL_FORCE_PIERCING	StatusData	Phantasmal Force: Piercing		Сила фантазма: колющий урон	
PHANTASMAL_FORCE_POISON	StatusData	Phantasmal Force: Poison		Сила фантазма: урон ядом	
PHANTASMAL_FORCE_PSYCHIC	StatusData	Phantasmal Force: Psychic		Сила фантазма: психический урон	
PHANTASMAL_FORCE_RADIANT	StatusData	Phantasmal Force: Radiant		Сила фантазма: лучистый урон	
PHANTASMAL_FORCE_SLASHING	StatusData	Phantasmal Force: Slashing	Haunted by an echo of the last thing that attacked them.&lt;br&gt;&lt;br&gt;Takes [1] each turn. When they take damage, the damage type changes to the type that damaged them. At the end of each turn, the target takes a Wisdom Saving Throw. On a success, this condition is removed.	Сила фантазма: режущий урон	Существо одержимо эхом последнего, что нанесло ему урон.&lt;br&gt;&lt;br&gt;Получает по [1] каждый ход. Если нанести существу урон, то получаемый урон меняет тип на такой же. В конце каждого хода существо должно пройти испытание мудрости. В случае успеха состояние снимается.
PHANTASMAL_FORCE_THUNDER	StatusData	Phantasmal Force: Thunder		Сила фантазма: урон громом	
PIN_DOWN	StatusData	Pinned Down	&lt;LSTag Tooltip="MovementSpeed"&gt;Movement speed&lt;/LSTag&gt; is reduced by [1].	Прижат к земле	&lt;LSTag Tooltip="MovementSpeed"&gt;Скорость перемещения&lt;/LSTag&gt; снижается на [1].
PLAYER_BONUSES_EASYMODE	StatusData	Difficulty: Explorer		Сложность: приключение	
PLA_BLOODFEST	StatusData	Bloodfest	By devouring a corpse, creature has gained an extra bonus action.	Кровавая жатва	Пожрав труп, существо получило бонусное действие.
PLA_DYINGHYENA_BLOATED	StatusData	Bloated	Restrained due to sickness and bloat.	Вздутие	Обездвиженность из-за болезни и вздутия.
PLA_FLINDITEM_BLESSING	StatusData	Yeenoghu's Blessing	Indulged its lust for violence. &lt;br&gt;&lt;Br&gt;&lt;LSTag Type="Passive" Tooltip="PLA_ConflictedFlind_Flail_Broken_Passive"&gt;Yeenoghu's Gift&lt;/LSTag&gt; won't turn the affected creature &lt;LSTag Type="Status" Tooltip="MADNESS"&gt;Mad&lt;/LSTag&gt;.	Благословение Йеногу	Существо утолило свою жажду крови. &lt;br&gt;&lt;Br&gt;&lt;LSTag Type="Passive" Tooltip="PLA_ConflictedFlind_Flail_Broken_Passive"&gt;Дар Йеногу&lt;/LSTag&gt; не позволит ему &lt;LSTag Type="Status" Tooltip="MADNESS"&gt;обезуметь&lt;/LSTag&gt;.
PLA_FLINDITEM_HUNGER	StatusData	Yeenoghu's Gift	Famished for slaughter. &lt;br&gt;&lt;br&gt;Affected entity can go &lt;LSTag Type="Status" Tooltip="MADNESS"&gt;Mad&lt;/LSTag&gt; if it doesn't deal damage to an enemy by the end of its turn.	Дар Йеногу	Существо жаждет крови. &lt;br&gt;&lt;br&gt;Если до конца своего хода оно не нанесет урон противнику, у него есть шанс &lt;LSTag Type="Status" Tooltip="MADNESS"&gt;обезуметь&lt;/LSTag&gt;.
PLA_LAUGHINGHARD_GNOLL	StatusData	Mirth-Wracked	Stunned by a wild joke. Can't move or take actions, bonus actions, or reactions until damaged.	Сокрушительное веселье	Существо впало в ступор от уморительной шутки. Не может перемещаться, а также предпринимать обычные, бонусные или ответные действия, пока не получит урон.
PLA_PINNEDUNDERBEAM	StatusData	Pinned	Pinned under a beam.	Не движется	Прижат балкой.
PLA_SUFFOCATING	StatusData	Blinded	Fire and smoke impede the creature's sight. &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; against it have &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt;, and it suffers &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Attack Rolls.	Слепота	Огонь и дым мешают этому существу видеть. У &lt;LSTag Tooltip="AttackRoll"&gt;бросков атаки&lt;/LSTag&gt; против него есть &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt;, а само существо получает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при бросках атаки.
PLA_YEENOGHU_HUNGER	StatusData	Yeenoghu's Hunger	Bloated with the spoils of slaughter, but still hungry - a gnoll is growing in the hyena's belly.	Голод Йеногу	Гиена раздулась, обожравшись после резни, но так и не смогла утолить голод: в животе у нее растет гнолл.
PLA_ZHENTSPOTTER_SIGHT	StatusData	%%% EMPTY		ПУСТО	
POISONED	StatusData	Poisoned	Suffers &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; and &lt;LSTag Tooltip="AbilityCheck"&gt;Ability Checks&lt;/LSTag&gt;.	Отравление	Получает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="AttackRoll"&gt;бросках атаки&lt;/LSTag&gt; и &lt;LSTag Tooltip="AbilityCheck"&gt;проверках характеристик&lt;/LSTag&gt;.
POISONED_CLOUD	StatusData	Poisonous Fumes	Takes [1] every turn and has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on all &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; and &lt;LSTag Tooltip="AbilityCheck"&gt;Ability Checks&lt;/LSTag&gt;.	Ядовитые испарения	Получает [1] каждый ход, а также &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при всех &lt;LSTag Tooltip="AttackRoll"&gt;бросках атаки&lt;/LSTag&gt; и &lt;LSTag Tooltip="AbilityCheck"&gt;проверках характеристик&lt;/LSTag&gt;.
POISONS	StatusData	%%% EMPTY			
